S,A_x,xmax_over_xc,crosses_threshold
0.3628571428571429,0.7885714285714286,0.5434306321434696,False
0.36714285714285716,0.7885714285714286,0.5408326229024693,False
0.37142857142857144,0.7885714285714286,0.5382548120190206,False
0.3757142857142857,0.7885714285714286,0.535697093343018,False
0.38,0.7885714285714286,0.5331593971108134,False
0.08,0.8014285714285714,0.8196093365739187,False
0.08428571428571428,0.8014285714285714,0.8134880425651142,False
0.08857142857142858,0.8014285714285714,0.8074143915924239,False
0.09285714285714286,0.8014285714285714,0.801505545546607,False
0.09714285714285714,0.8014285714285714,0.7956421468059828,False
0.10142857142857142,0.8014285714285714,0.7898809702465962,False
0.10571428571428572,0.8014285714285714,0.7842197116369937,False
0.11,0.8014285714285714,0.7786040400836731,False
0.1142857142857143,0.8014285714285714,0.773127692809113,False
0.11857142857142858,0.8014285714285714,0.7677038454348378,False
0.12285714285714286,0.8014285714285714,0.7623486925300166,False
0.12714285714285714,0.8014285714285714,0.7571084992376808,False
0.13142857142857145,0.8014285714285714,0.7519114414449922,False
0.13571428571428573,0.8014285714285714,0.7468021333944797,False
0.14,0.8014285714285714,0.7417790449290411,False
0.1442857142857143,0.8014285714285714,0.7367980520906876,False
0.14857142857142858,0.8014285714285714,0.7319134592975687,False
0.15285714285714286,0.8014285714285714,0.7270971259862494,False
0.15714285714285714,0.8014285714285714,0.7223216001951255,False
0.16142857142857142,0.8014285714285714,0.7176426382153555,False
0.1657142857142857,0.8014285714285714,0.7130228973112707,False
0.17,0.8014285714285714,0.7084425181747148,False
0.1742857142857143,0.8014285714285714,0.7039519576086439,False
0.17857142857142858,0.8014285714285714,0.6995189535221804,False
0.18285714285714288,0.8014285714285714,0.6951237736939909,False
0.18714285714285717,0.8014285714285714,0.690806061037235,False
0.19142857142857145,0.8014285714285714,0.6865503203170622,False
0.19571428571428573,0.8014285714285714,0.6823308223599625,False
