regime,S,m,c_x,t,x,u,x_dot,u_dot,x_accel,u_accel,D_x_cumulative,F_x,F_u
fragile-fast,0.15,1.6,0.7,3.12,7.46853854713915e-13,0.0036389940520887005,4.652999869495071e-12,0.007369825692643864,3.7649372027367516e-11,0.01468881605684605,1.1827968465772656e-13,6.424294900714849e-11,0.026081544683752463
fragile-fast,0.15,1.6,0.7,3.16,9.932128447375058e-13,0.003957289185485408,6.1589747505897716e-12,0.007957378334917706,4.951411648429495e-11,0.01571817128115215,1.580081984472268e-13,8.452708154502227e-11,0.02793415646756124
fragile-fast,0.15,1.6,0.7,3.2,1.3187944211359686e-12,0.00430073339293196,8.13953940996157e-12,0.008586105186163791,6.501341957415258e-11,0.016807473469415045,2.1075997529266554e-13,1.110379433267532e-10,0.029897094366880796
fragile-fast,0.15,1.6,0.7,3.24,1.7483974688530755e-12,0.004671069557929576,1.0740076192927672e-11,0.009258404124940393,8.522747457303493e-11,0.017959237985902644,2.806958740467886e-13,1.4563041012075835e-10,0.031975222222047565
fragile-fast,0.15,1.6,0.7,3.2800000000000002,2.3143644758870385e-12,0.005070140503704636,1.4149175175849069e-11,0.009976773644376498,1.1154723756278253e-10,0.01917601177769672,3.7327045308227014e-13,1.9069436719943344e-10,0.034173489621003715
fragile-fast,0.15,1.6,0.7,3.3200000000000003,3.0588070630214537e-12,0.005499893068324011,1.8611064678360372e-11,0.010743814115484366,1.4576073952328928e-10,0.020460367725859963,4.956227356031283e-13,2.493037355751366e-10,0.03649692330332487
fragile-fast,0.15,1.6,0.7,3.36,4.036466833393132e-12,0.005962382221304761,2.4441494259291943e-11,0.011562228824518765,1.9016246712920016e-10,0.02181489849755739,6.570814089388535e-13,3.2540546022161777e-10,0.03895061768669163
fragile-fast,0.15,1.6,0.7,3.4,5.31838655117153e-12,0.0064597752118816035,3.2047992944459946e-11,0.01243482476442106,2.476917216868615e-10,0.023242209891907745,8.698168709857147e-13,4.2405873631127197e-10,0.041539724497258956
fragile-fast,0.15,1.6,0.7,3.44,6.996613023648906e-12,0.0069943557382854986,4.1955661811934406e-11,0.013364513160097369,3.2210730920424635e-10,0.02474491367448887,1.149681391931671e-12,5.517372710187971e-10,0.04426944148871458
fragile-fast,0.15,1.6,0.7,3.48,9.190211190853077e-12,0.007568528126568576,5.483995418010426e-11,0.014354309707076924,4.1820769217527123e-10,0.0263256198977525,1.5172898395657941e-12,7.167104865973601e-10,0.04714500023847603
fragile-fast,0.15,1.6,0.7,3.52,1.2052941665537681e-11,0.008184821506688056,7.156826186711511e-11,0.015407334502987024,5.421079178277863e-10,0.027986928707107166,1.9994075061873013e-12,9.295233934969766e-10,0.050171653013443396
fragile-fast,0.15,1.6,0.7,3.56,1.5783044808746746e-11,0.008845893972738909,9.325257858022657e-11,0.01652681165127131,7.015873154714217e-10,0.02973142163510495,2.630729298537171e-12,1.20359955456918e-09,0.0533546587020044
fragile-fast,0.15,1.6,0.7,3.6,2.0635687656710085e-11,0.009554536713405929,1.2131607119908344e-10,0.01771606851667551,9.065252315785623e-10,0.031561652389006836,3.4561568048055747e-12,1.5559973080217682e-09,0.05669926781356521
fragile-fast,0.15,1.6,0.7,3.64,2.6938770875199123e-11,0.01031367809789536,1.5757708046222595e-10,0.01897853461223578,1.1694460700676847e-09,0.03348013713999802,4.53370763981354e-12,2.008356439307053e-09,0.06021070655174874
fragile-fast,0.15,1.6,0.7,3.68,3.511296780579646e-11,0.011126387701808788,2.0435492326493334e-10,0.020317740097835702,1.506199775554363e-09,0.03548934432546736,5.938226352045398e-12,2.5880810549782305e-09,0.06389415997254676
fragile-fast,0.15,1.6,0.7,3.72,4.569708437728077e-11,0.011995880256642964,2.646029142871079e-10,0.021737313870854397,1.936809815705453e-09,0.03759168397904269,7.766109727136629e-12,3.329814829506981e-09,0.06775475424411588
fragile-fast,0.15,1.6,0.7,3.7600000000000002,5.93800966538938e-11,0.012925519505843608,3.42075306915326e-10,0.023240981230016104,2.486527894560389e-09,0.03978949660647297,1.0141313593292382e-11,4.277277442791244e-09,0.07179753803055243
fragile-fast,0.15,1.6,0.7,3.8000000000000003,7.704155356180347e-11,0.013918821949614609,4.4153642269774155e-10,0.02483256109427502,3.187143309082786e-09,0.042085041628955495,1.322297573576452e-11,5.485546343982681e-09,0.07602746302784581
fragile-fast,0.15,1.6,0.7,3.84,9.980243976424558e-11,0.014979460459991939,5.69022155061053e-10,0.026515962759433243,4.0786053376663545e-09,0.044480485419102225,1.7215073326334344e-11,7.02388648857315e-09,0.08044936368626641
fragile-fast,0.15,1.6,0.7,3.88,1.2908909450695387e-10,0.01611126774703983,7.321663685677072e-10,0.028295182176197333,5.211029664184573e-09,0.04697788895840768,2.2378637106612498e-11,8.979253015199667e-09,0.08506793615966592
fragile-fast,0.15,1.6,0.7,3.92,1.6671339671235748e-10,0.017318239656421177,9.406075551350903e-10,0.03017429773453364,6.6471749954209435e-09,0.04957919514880158,2.9047172975106797e-11,1.1460618677980432e-08,0.08988771652852601
fragile-fast,0.15,1.6,0.7,3.96,2.149731789104346e-10,0.018604538278040605,1.206494554951928e-09,0.03215746554048571,8.465494191597525e-09,0.0522862158146193,3.764610013152418e-11,1.4604310073932823e-08,0.09491305835004747
fragile-fast,0.15,1.6,0.7,4.0,2.7677775181506774e-10,0.019974494844963425,1.5451143226158289e-09,0.03424891417307048,1.0763885944314535e-08,0.05510061843508116,4.871721020412689e-11,1.8580575288549406e-08,0.1001481095950934
fragile-fast,0.15,1.6,0.7,4.04,3.5580454223060415e-10,0.021432612401382375,1.9756697603884103e-09,0.03645293891047373,1.3664298936042597e-08,0.05802391265110946,6.294939189335106e-11,2.3601651672170645e-08,0.10559678903834323
fragile-fast,0.15,1.6,0.7,4.08,4.566942109438087e-10,0.0229835682180431,2.522241717830114e-09,0.03877389541651811,1.731837123193984e-08,0.0610574365940119,8.121716033110341e-11,2.993165738452864e-08,0.11126276217454749
fragile-fast,0.15,1.6,0.7,4.12,5.85293273628117e-10,0.024632215933254244,3.214976567107708e-09,0.041216192880278585,2.1914324231502162e-08,0.06420234308718159,1.0462889127622809e-10,3.789869564100697e-08,0.11714941674023469
fragile-fast,0.15,1.6,0.7,4.16,7.489552550828288e-10,0.026383587397404876,4.0915495363677945e-09,0.04378428660376585,2.768537381314356e-08,0.06745958577549521,1.3458710147954126e-10,4.7909638031569984e-08,0.12325983792658803
fragile-fast,0.15,1.6,0.7,4.2,9.569138346385702e-10,0.028242894198796303,5.198964488893537e-09,0.04648267003478566,3.4919972448150265e-08,0.0708299052404874,1.7286365486508406e-10,6.046814489390447e-08,0.12959678337541175
fragile-fast,0.15,1.6,0.7,4.24,1.220744370111352e-09,0.03021552884857251,6.595763386819548e-09,0.049315866244405156,4.3974256306244666e-08,0.0743138151626242,2.2169342966953815e-10,7.61965888308765e-08,0.13616265805611272
fragile-fast,0.15,1.6,0.7,4.28,1.5549337156741253e-09,0.03230706560260892,8.354733639069334e-09,0.05228841885091012,5.5287142160116666e-08,0.07791158859505319,2.8389077829650316e-10,9.586267471920932e-08,0.14295948912737053
fragile-fast,0.15,1.6,0.7,4.32,1.9775824886930855e-09,0.034523260898397405,1.0566219325474e-08,0.05540488239471225,6.939860184685492e-08,0.08162324441604647,3.629940778442266e-10,1.2041169897149276e-07,0.14998890089261488
fragile-fast,0.15,1.6,0.7,4.36,2.5112690246670133e-09,0.03687005338525157,1.3342163399348197e-08,0.05866981217135411,8.697173899296112e-08,0.08544853402994243,4.6344483883090713e-10,1.5100556579294855e-07,0.15725208996351636
fragile-fast,0.15,1.6,0.7,4.4,3.1841103430296792e-09,0.03935356352655364,1.6821032959066643e-08,0.06208775353255181,1.0881940571336087e-07,0.08938692838870689,5.908092525520943e-10,1.8906988255575373e-07,0.16474980075037934
fragile-fast,0.15,1.6,0.7,4.44,4.031062710533722e-09,0.041980092753277645,2.117380918760108e-08,0.06566323066810009,1.3593622835148428e-07,0.09343760540823667,7.520517609734432e-10,2.3635069450422934e-07,0.17248230140254509
fragile-fast,0.15,1.6,0.7,4.48,5.09551304340014e-09,0.04475612214865483,2.661125832166045e-08,0.06940073488442956,1.6953706359234667e-07,0.0975994378552009,9.558722827094489e-10,2.9498269561631715e-07,0.1804493603256283
fragile-fast,0.15,1.6,0.7,4.5200000000000005,6.431222678014313e-09,0.04768831064460033,3.339274086535432e-08,0.0733047123986376,2.1110308228104388e-07,0.10187098178151804,1.2131211898300214e-09,3.6757107293343256e-07,0.18865022340556337
